QID,Prediction
Q1,根据你的描述1.你的这个情况应该是因为发动机活塞环间隙过大或者气门油封老化引起的2.建议你到当地的大型维修店进行检查，烧机油一般是发动机活塞环间隙过大或者气门油封老化引起的，如果每7500公里烧一升机油的话，可以在后备箱备一些机油，以便机油报警时有机油及时补充，如果超过两升或者两升以上，建议你进行发动机检查维修。
Q2,抛光处理一下就好了！50元左右
Q3,你好，这个价格不贵，可以更换。
Q4,发动机没力，并伴有排气管冒黑烟。
Q5,建议前轮做一下动平衡就好了！
Q6,你好，车子没有异常，那可能排气管关上缠到了方编袋造成的，
Q7,你好，根据你说的，这个是没有问题的，可以购买绿色的防冻液。
Q8,你好，根据你说的，这种情况是不能再使用的，如果机油灯常亮是不能再使用的，否则会对车辆造成严重伤害，严重时会造成发动机抱死的故障。解决办法是拖车入厂，检查润滑系统故障，并根据故障原因进行相应的处理
Q9,从这个图片来看，您的轮胎只是在胎面出现了一些裂痕，这种情况不会影响到车辆的正常使用，因为这种情况不会影响到轮胎的正常使用。
Q10,这种情况有可能是停放的时间久了之后，机油的润滑刚开始没有完全润滑到发动机的机械部件，所以一开始可能听到的声音比较大一点，如果发动机在以后使用过程中没有问题，不用担心的。
Q11,你好，高速行车对车子没有任何影响，但是高速行车需要注意安全。
Q12,前风挡起雾的主要原因，就是因为室内的空气湿度比较大，外界的空气比较冷，这时候在前风挡的位置产生一个温差，所以产生雾气。
Q13,你的车辆才跑了不到1700公里，机油应该是没有问题的，这种情况我们可以检查一下，但是应该不会有问题。
Q14,你好，不会打坏，但是对电瓶起动机寿命都有一定的影响
Q15,这个不一定有很好的效果，主要原因是车辆的喇叭跟音响是有关系的，就像是我们家庭的功放，如果是选用好的喇叭，没有好的功放，那么肯定也出不来那种效果的。
Q16,从这张图片来看，您的车辆被需要喷漆处理，可以到经销店去，或者是报保险公司李克萨斯本身这款车属于豪华车型，可能喷漆的费用比较高，我个人还是建议您走保险公司比较好。
Q17,你好！目前来说国产发动机的声音都是比较大的。
Q18,你好，轮胎碰撞过吗？一般轮胎不能索赔的，需要更换处理，防止爆胎。
Q19,根据您的描述和问诊的情况，这个情况一般原因是变速箱内部电磁阀卡滞造成的，需要
Q20,你好，根据你的描述是方向盘一边按钮不太好用另一边正常的，这个可以索赔更换喇叭开关即可恢复正常。
Q21,变速箱油脏了导致变速箱模块受损
Q22,根据您的描述，这个情况一般原因是发动机内部积炭过多造成的，需要清洗一下节气门，喷油嘴，检查更换老化的火花塞，检查清除燃烧室积炭
Q23,检查一下开关总成的插头有没有电源和打铁，有可能开关坏了
Q24,你好，这种情况需要电脑检测一下故障码，可能是缺缸导致。
Q25,这款车的钢线通用的
Q26,你好，新车这种情况一般都是钥匙电子亏电，感应不到钥匙了，把钥匙靠近一键启动按钮在启动试试。
Q27,你好很高兴为你服务首先检查车况尤其是检查有没有撞过大梁有无变形车身有无变形车身有无变形车身有无异常
Q28,你好，应急电量不够起动，更换有电电瓶吧！
Q29,你好，原车杠600左右，修理厂，
Q30,根据您提供的图片来看，这个情况是属于维修后的车辆，如果是这样，根据国家相关规定，销售店承担车价十倍的赔偿。
Q31,您好，可以提前一点和推迟一点公里数，这样对发动机不好，首保没有影响，一般对发动机不好，首保没有影响，一般对100公里没有影响
Q32,建议检查一下遥控器的电池电量和车辆的电瓶，一般都是这两个方面的影响
Q33,同时更换两个或者两个以上的新轮胎，建议做四轮动平衡和四轮动平衡。
Q34,该故障灯点亮，表示发动机系统检测到故障，需要用解码器读取故障记录，根据故障提示排查问题。
Q35,你好，发动机故障灯亮了没有，检查一下刹车真空助力
Q36,你的车这种现象首先要清洗节气门，更换空气滤芯，然后在用电脑做下节气门匹配，怠速就正常了，希望我能帮到您。
Q37,起步或者爬坡的时候会感觉动力不足，转速升高车行驶的很慢，
Q38,你好，你可以在当地二手车市场让他们估价，我想大概还能值30000-40000左右。谢谢
Q39,你好，最好是熟人修理厂，因为贴膜利润是比较大得，暴利产品，四门后档便宜，前挡便宜，前挡玻璃要贵一点得。祝你们幸福的，
Q40,你好，这是虚接，处理方法可以把电瓶拆下用水冲洗干净，擦干，在装上就可以防止在出现类似情况
Q41,建议清洗节气门和进气道
Q42,气门室盖垫不行了漏油
Q43,没有影响
Q44,你好，这款车是有针对助力黄色报警升级的，还点需要电脑检测，读取具体故障码！
Q45,车主你好，保险杠油漆刮伤比较严重，需要重新喷漆，建议去修理厂喷漆即可，一般保险杠喷漆价格300左右。
Q46,你好，在变速箱侧面有个观察孔，打开，有油流出就够了，大概可以加五升多！
Q47,先检查一下小灯是不是亮，一般车开雾灯必须开小灯，小灯控制中控台灯和点烟器灯，希望能帮到您
Q48,建议您加瓶燃油宝试试，有条件的话先去修理厂查一下故障码，
Q49,轮胎上没有[UNK]旋转方向箭头
Q50,先查一下正时
Q51,尊敬的车主朋友您好，汽车改装带透镜的车不影响二手车交易，但是影响汽车年审。可以找黄牛代办或装复原车大灯，审车过后再换回来。希望我的回答能够帮助你。
Q52,你好，不是开关坏了，是雷达模块坏了，需要更换
Q53,你好，车主！这个效果不大的，不建议装！
Q54,你好，根据你说的这种情况，建议清洗下节气门，检查下火花塞！
Q55,保养得时候没有消除保养提示吧？
Q56,汽车抖动一般有几种情况。节气门积碳。火花塞点火弱。建议您清洗一下节气门积碳然后做个节气门匹配。
Q57,你好，发动机动力正常吗？防冻液一直消耗多不多？
Q58,你好，长时间停放是吧？长时间停放是吧？用清洗剂清洗过吗？美容泥呢？
Q59,你好，根据你的描述和问诊的情况，我建议你去店里让他给你换一个主机试试，如果还是不行的话，就得更换主机
Q60,检查一下后面倒车灯亮不亮。如果倒车灯亮的检查一下倒车灯火线上面的倒车检测线有没有电。如果有电更换摄像头
Q61,您好，这是发动机故障灯，需要电脑解码看看，如果是偶发历史故障那么清除故障码就可以了。
Q62,尊敬的车主你好，如果更换的电瓶和原车型号不同启动电流比原车小的车辆会出现这种故障现象。因为车辆启动时是电瓶最大电流输出，如果电瓶启动电流型号不符合，在车辆启动时会因为启动电流馈乏造成仪表系统工作程序混乱，仪表异常工作。请检查爱车电瓶型号。希望我的回答能够帮助你。
Q63,用柏油清洗剂喷上去后用布擦可以擦掉。
Q64,这个地盘高度是厂家出厂设计的。不过可以通过改减震的方法提高底盘。
Q65,你好，一点也不制冷，一点也不制冷首先检查一下氟利昂是否足够，其次检查一下压缩机是否正常运转导致。
Q66,有的车刹车油和离合器油共用刹车油，离合器分泵里会进气，导致踩离合不能彻底分离，所以离合器分泵需要放气
Q67,你好，根据你说的，这种情况是四轮胎压不均匀导致的，需要调下胎压，储存下就可以了！
Q68,首先检查机油的时候第一次和第二次要么都是凉车，要么都是热车
Q69,您好，防尘套拆装首先把半轴拆下来，在外球笼处分解开，然后更换防尘套即可。
Q70,根据你的描述1.你的这个情况应该是因为变速器内部离合器打滑导致的2.建议对这两个方面进行检查一下
Q71,你好，根据你的描述和问诊的情况，这个公里数是不需要做保养的，只需要更换机油就可以了。
Q72,这个公里数需要清洗一下节气门。
Q73,你好，六年免检之后就需要上线检测得。主要是灯光，刹车和尾气。祝您生活愉快！
Q74,保养提示消除就可以了。祝您用车愉快！
Q75,你好，根据描述情况分析一般是油路问题导致的，很高兴为你解答！
Q76,轮胎保险公司是不处理的
Q77,做一个轮胎动平衡
Q78,你好，可以去维修店调取一下发动机故障代码，从而根据问题解决故障。
Q79,你好，起热得轮子看看刹车分泵，刹车片是否回位不好导致的，问题不大。祝您生活愉快！
Q80,你好两万公里只需要更换机油机滤空气滤芯清洗节气门积碳节气门积碳要求每两万公里进行清洗积碳会造成怠速不稳有时易熄火等故障
Q81,您好，根据您的描述和问诊的情况，这个情况一般原因是离合总泵或者分泵损坏造成的，需要检查更换！
Q82,你好，离合是不是高？
Q83,需要更换凸轮轴油封
Q84,发电机不发电，可以维修或者更换得。
Q85,打方向有旷量
Q86,你好，发动机动力正常吗？主要检查发动机动力和离合器是否出现打滑引起。祝您用车愉快！
Q87,你好，具体得将车辆顶起来作为检查！
Q88,得喷漆了
Q89,主驾驶门摇窗机开关控制线路有问题
Q90,这种情况没有问题的
Q91,你好发动机转到一缸上止点，按照1342的顺序调整双排不进，然后转到四缸上止点反过来调就行了
Q92,在头盖开关旁边
Q93,你好，这个故障是正时错了，跳齿了，现在是轻微的！严重就顶气门了！
Q94,您这种情况不是拉线的问题，这是由于节气门发卡的原因导致的，您可以先把节气门清洗一下，然后再调解。
Q95,正常的保养费用，机油机滤的话大概是七百块左右。
Q96,检查一下轮胎是不是吃胎，检查一下底盘做一下四轮定位
Q97,这个主要是减震器上座有问题引起的，需要更换减震器上座。
Q98,根据您的描述，这个情况一般原因是方向助力转向位置传感器损坏造成的，需要检查更换损坏的方向助力转向位置传感器。
Q99,一般情况下前轮四万公里更换一次后轮六到八万公里更换一次
Q100,可以支持[UNK]的内存卡
Q101,你好，这是闪光继电器坏了，换个就好了
Q102,你好，这一般被叫做怠速不稳，一般是节气门积碳，喷油嘴积碳，时间长没有清洗，是时候保养啦，顺便检查下别的地方，是否有漏气，未进行及时保养导致的，希望能帮到您谢谢
Q103,没有影响，但是今后一定要注意，影响安全！
Q104,建议更换一个玻璃升降器试试
Q105,检查一下变速箱油缺不缺，不缺的话，更换一下变速箱油试试
Q106,建议你去维修店让师傅检查一下雨刷连接部位发生干涉造成的，更换新的就好了，还响，检查连接部位发生干涉造成的，建议你去维修店让师傅看看吧！
Q107,你好，可能是刮水器电机坏了，更换电机70-150左右
Q108,您好，如果没有加转向助力油就是电子助力方向的
Q109,清洗一下节气门火花塞检查一下好不好
Q110,需要更换新的发电机
Q111,你好，需要拆前杠的。
Q112,您好，根据您的描述，这个情况一般原因是前刹车片没有安装到位，或者没有安装到位造成的，需要检查更换后刹车片。
Q113,检查控制器，线路
Q114,建议检查温控开关和风扇继电器
Q115,您好，主要看您用什么价位的机油？
Q116,皮带松了造成的，紧紧皮带就好了。
Q117,检查车窗保险有问题造成的，希望可以帮到你！
Q118,可以的
Q119,信息娱乐系统-5f-功能开启默认1开启，新款是2，0是关闭。
Q120,刹车报警灯你的刹车片需要更换了
Q121,你好，需要进行清洗一下
Q122,可以过得，没有问题
Q123,你好，根据你说的这种情况可能是出厂时打的胶粘不住引起的，可能是出厂时打的胶粘不住引起的
Q124,你好，你的情况建议做大保养，更换全车油系，包括机油三滤，空滤滤芯，变速箱油，刹车油，刹车油，防冻液，清洗节气门，喷油嘴，进气道，三元催化！
Q125,你好，这个是直接对链条的，，很简单！
Q126,你好，首先给电瓶充电了，你的问题是电瓶馈电'造成的！
Q127,你好，这样的情况应该是发动机工作不好，造成发动机抖动行驶出现抖动的情况。你这车行驶了13万公里。建议你先去检查一下油路积炭和火花塞。不知道你这辆车在路上行驶进里面什么形式的维修站，用诊断设备读取故障码，根据故障码的提示检查维修。你需要详细的告诉我这样才可以更好的为你解答，有不懂随时咨询我。
Q128,转向柱模块[UNK]坏了
Q129,带透镜的亮度高
Q130,根据你的描述1.你的这个情况应该是因为油路问题导致的，建议检查一下油路看看很高兴为你解答
Q131,你好，锁块有问题，需要更换锁块。
Q132,你好，更换机油是不会引起加速不良以及动力不足的，很有可能是心理作用另外一点就是新更换的机油粘度比较大会导致发动机运行中阻力变大引起的建议你行驶一段时间就可以了
Q133,你好，根据你的描述，这是因为发动机高压喷油嘴工作的压力比较高才会有这个声音是正常现象
